Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,476.29998779296875,477.8500061035156,473.8500061035156,477.7099914550781,464.9233703613281,72668200
2022-01-04,479.2200012207031,479.9800109863281,475.5799865722656,477.54998779296875,464.76763916015625,71178700
2022-01-05,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,455.8431701660156,104538900
2022-01-06,467.8900146484375,470.82000732421875,465.42999267578125,467.94000244140625,455.4148864746094,86858900
2022-01-07,467.95001220703125,469.20001220703125,464.6499938964844,466.0899963378906,453.6144104003906,85111600
2022-01-10,462.70001220703125,465.739990234375,456.6000061035156,465.510009765625,453.0499267578125,119362000
2022-01-11,465.2300109863281,469.8500061035156,462.04998779296875,469.75,457.17645263671875,74303100
2022-01-12,471.5899963378906,473.20001220703125,468.94000244140625,471.0199890136719,458.4124450683594,67605400
2022-01-13,472.19000244140625,472.8800048828125,463.44000244140625,464.5299987792969,452.09613037109375,91173100
2022-01-14,461.19000244140625,465.0899963378906,459.8999938964844,464.7200012207031,452.28106689453125,95890900
2022-01-18,459.739990234375,459.9599914550781,455.30999755859375,456.489990234375,444.2713317871094,109709100
2022-01-19,458.1300048828125,459.6099853515625,451.4599914550781,451.75,439.65826416015625,109357600
2022-01-20,453.75,458.739990234375,444.5,446.75,434.79205322265625,122379700
2022-01-21,445.55999755859375,448.05999755859375,437.95001220703125,437.9800109863281,426.2568664550781,202271200
2022-01-24,432.0299987792969,440.3800048828125,420.760009765625,439.8399963378906,428.0670166015625,251783900
2022-01-25,433.05999755859375,439.7200012207031,427.1499938964844,434.4700012207031,422.84075927734375,167997300
2022-01-26,440.7200012207031,444.0400085449219,428.8599853515625,433.3800048828125,421.7799072265625,186391100
2022-01-27,438.260009765625,441.5899963378906,429.45001220703125,431.239990234375,419.6972351074219,149878300
2022-01-28,432.67999267578125,442.0,427.82000732421875,441.95001220703125,430.12054443359375,164457400
2022-01-31,441.239990234375,450.2799987792969,439.80999755859375,449.9100036621094,437.86749267578125,152251400
2022-02-01,450.67999267578125,453.6300048828125,446.94000244140625,452.95001220703125,440.8261413574219,123155400
2022-02-02,455.5,458.1199951171875,453.04998779296875,457.3500061035156,445.10833740234375,117361000
2022-02-03,450.95001220703125,452.9700012207031,445.7099914550781,446.6000061035156,434.6460876464844,118024400
2022-02-04,446.3500061035156,452.7799987792969,443.8299865722656,448.70001220703125,436.68988037109375,118454400
2022-02-07,449.510009765625,450.989990234375,445.8500061035156,447.260009765625,435.2884216308594,84472900
2022-02-08,446.7300109863281,451.9200134277344,445.2200012207031,450.94000244140625,438.8699035644531,81012000
2022-02-09,455.2200012207031,457.8800048828125,455.010009765625,457.5400085449219,445.2932434082031,92589900
2022-02-10,451.3399963378906,457.7099914550781,447.20001220703125,449.32000732421875,437.2932434082031,140103700
2022-02-11,449.4100036621094,451.6099853515625,438.94000244140625,440.4599914550781,428.6704406738281,153214600
2022-02-14,439.9200134277344,441.6000061035156,435.3399963378906,439.0199890136719,427.26898193359375,123006300
2022-02-15,443.7300109863281,446.2799987792969,443.17999267578125,446.1000061035156,434.15948486328125,88482700
2022-02-16,443.92999267578125,448.05999755859375,441.94000244140625,446.6000061035156,434.6460876464844,84863600
2022-02-17,443.2200012207031,446.57000732421875,436.4200134277344,437.05999755859375,425.36151123046875,102259100
2022-02-18,437.3299865722656,438.6600036621094,431.82000732421875,434.2300109863281,422.60723876953125,132642900
2022-02-22,431.8900146484375,435.5,425.8599853515625,429.57000732421875,418.07196044921875,124391800
2022-02-23,432.6600036621094,433.260009765625,421.3500061035156,421.95001220703125,410.6559143066406,132578000
2022-02-24,411.0199890136719,428.760009765625,410.6400146484375,428.29998779296875,416.8359069824219,213942900
2022-02-25,429.6099853515625,437.8399963378906,427.8599853515625,437.75,426.0329895019531,121804500
2022-02-28,432.0299987792969,438.20001220703125,430.70001220703125,436.6300048828125,424.94293212890625,145615000
2022-03-01,435.0400085449219,437.1700134277344,427.1099853515625,429.9800109863281,418.470947265625,137785900
2022-03-02,432.3699951171875,439.7200012207031,431.57000732421875,437.8900146484375,426.16925048828125,117726500
2022-03-03,440.4700012207031,441.1099853515625,433.79998779296875,435.7099914550781,424.04754638671875,105501700
2022-03-04,431.75,433.3699951171875,427.8800048828125,432.1700134277344,420.60235595703125,113978200
2022-03-07,431.54998779296875,432.29998779296875,419.3599853515625,419.42999267578125,408.20330810546875,137896600
2022-03-08,419.6199951171875,427.2099914550781,415.1199951171875,416.25,405.1084289550781,164772700
2022-03-09,425.1400146484375,429.510009765625,422.82000732421875,427.4100036621094,415.9697570800781,116990800
2022-03-10,422.5199890136719,426.42999267578125,420.44000244140625,425.4800109863281,414.0914001464844,93972700
2022-03-11,428.1199951171875,428.7699890136719,419.5299987792969,420.07000732421875,408.8262023925781,95636300
2022-03-14,420.8900146484375,424.54998779296875,415.7900085449219,417.0,405.8383483886719,95729200
2022-03-15,419.7699890136719,426.8399963378906,418.4200134277344,426.1700134277344,414.7629699707031,106219100
2022-03-16,429.8900146484375,435.67999267578125,424.79998779296875,435.6199951171875,423.9599914550781,144954800
2022-03-17,433.5899963378906,441.07000732421875,433.19000244140625,441.07000732421875,429.26409912109375,102676900
2022-03-18,438.0,444.8599853515625,437.2200012207031,444.5199890136719,433.9656982421875,106345500
2022-03-21,444.3399963378906,446.4599914550781,440.67999267578125,444.3900146484375,433.8388366699219,88349800
2022-03-22,445.8599853515625,450.5799865722656,445.8599853515625,449.5899963378906,438.91534423828125,74650400
2022-03-23,446.9100036621094,448.489990234375,443.7099914550781,443.79998779296875,433.2628173828125,79426100
