Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-01-03,167.5500030517578,170.70350646972656,166.16050720214844,170.4044952392578,170.4044952392578,63520000,,,170.4044952392578,170.4044952392578,0.0,,,,,,,,,
2022-01-04,170.43800354003906,171.39999389648438,166.34950256347656,167.52200317382812,167.52200317382812,70726000,,,169.9610349214994,170.19097730848523,-0.22994238698584013,,,,,,,,,
2022-01-05,166.88299560546875,167.12649536132812,164.35699462890625,164.35699462890625,164.35699462890625,64302000,,,169.09887487648507,169.75883044333125,-0.659955566846179,,,,,,,,,
2022-01-06,163.45050048828125,164.8000030517578,161.93699645996094,163.25399780273438,163.25399780273438,51958000,,,168.19966301898495,169.27699098847222,-1.0773279694872713,,,,,,,,,
2022-01-07,163.83900451660156,165.24349975585938,162.031005859375,162.5540008544922,162.5540008544922,46606000,,,167.331099609063,168.7789917192885,-1.4478921102255242,,,,,,,,,
2022-01-10,160.5854949951172,161.6614990234375,156.30450439453125,161.48599243164062,161.48599243164062,87798000,,,166.431852350998,168.2387695498331,-1.8069171988350945,,,,,,,,,
2022-01-11,161.5,166.35000610351562,160.70150756835938,165.36199951171875,165.36199951171875,62806000,164.9913548060826,,166.2672596064935,168.02567547293575,-1.758415866442249,,,,,,,3.0955002250907926,,
2022-01-12,166.5749969482422,166.8780059814453,164.41700744628906,165.20700073242188,165.20700073242188,50030000,164.2488555908203,,166.10414285663632,167.81688475141618,-1.7127418947798674,,,,,,,2.015688802239305,,
2022-01-13,165.25050354003906,166.22149658203125,161.09100341796875,161.21400451660156,161.21400451660156,52188000,163.34771292550224,,165.35181388124636,167.3277825118003,-1.9759686305539503,,,,,,,1.692652125343458,,
2022-01-14,160.14999389648438,162.25,159.80050659179688,162.13800048828125,162.13800048828125,45974000,163.0307137625558,,164.85738105155943,166.94335421376186,-2.0859731622024356,,-0.048511013394159086,,,,,1.6798691736441003,,
2022-01-18,159.10499572753906,159.7344970703125,157.6645050048828,158.91749572753906,158.91749572753906,67292000,162.41121346609933,,163.94355254017168,166.34884617774534,-2.4052936375736635,,-0.0513634464922238,,,,,2.277206079211226,,
2022-01-19,158.76199340820312,159.25,156.25,156.2989959716797,156.2989959716797,53242000,161.51764133998327,,162.76746691424984,165.60441282914786,-2.836945914898024,,-0.049027415446603495,,,,,3.2368586008655544,,
2022-01-20,156.76600646972656,158.0,151.3509979248047,151.66749572753906,151.66749572753906,71974000,160.11499895368303,,161.05977903937125,164.57204859939904,-3.5122695600277893,,-0.07097224099342236,,,,,4.9348429373523235,,
2022-01-21,149.9499969482422,150.89999389648438,142.07049560546875,142.64300537109375,142.64300537109375,163972000,156.86942836216517,,158.22642924425165,162.947675026932,-4.721245782680342,12.847459468422386,-0.12248849846040688,,,,,7.638929839320354,,
2022-01-24,139.0,144.94500732421875,135.3520050048828,144.54400634765625,144.54400634765625,155624000,153.91757202148438,,156.12144110631388,161.5844403099486,-5.462999203634723,17.067187645130957,-0.10491303814574604,,,,,7.868992082373129,,
2022-01-25,142.24249267578125,143.60000610351562,138.14500427246094,139.98599243164062,139.98599243164062,90824000,150.88499886648995,,153.63906438713337,159.9845552819258,-6.34549089479242,16.36865736285249,-0.15345730672711055,,,,,8.641004006907089,,
2022-01-26,144.75,145.18499755859375,137.31849670410156,138.87249755859375,138.87249755859375,95602000,147.5613555908203,,151.36728487505036,158.42069915427157,-7.053414279221215,17.232209493868083,-0.15940307043332202,,,,,8.045139436218097,,
2022-01-27,140.8000030517578,144.24349975585938,139.35000610351562,139.6374969482422,139.6374969482422,77516000,144.80707005092077,,149.56270211707985,157.02935084271385,-7.466648725634002,19.367814385775333,-0.13383767516386869,,,,,6.696623607271772,,
2022-01-28,140.86050415039062,143.9980010986328,137.92950439453125,143.97799682617188,143.97799682617188,74392000,143.04692731584822,,148.7035166877094,156.06258387852557,-7.359067190816177,27.984783530971654,-0.11200337741565969,,,,,4.397061335593011,,
