Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-01-03,476.2999877929688,477.8500061035156,473.8500061035156,477.7099914550781,464.9233703613281,72668200,,,477.7099914550781,477.7099914550781,0.0,,,,,,,,,
2022-01-04,479.2200012207031,479.9800109863281,475.5799865722656,477.5499877929688,464.76763916015625,71178700,,,477.6853755070613,477.69813933195894,-0.012763824897660925,,,,,,,,,
2022-01-05,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,455.8431701660156,104538900,,,476.2537800264076,477.0079071505407,-0.754127124133106,,,,,,,,,
2022-01-06,467.8900146484375,470.8200073242188,465.4299926757813,467.9400024414063,455.4148864746094,86858900,,,474.97473732102276,476.3362105054196,-1.361473184396857,,,,,,,,,
2022-01-07,467.9500122070313,469.2000122070313,464.6499938964844,466.0899963378906,453.6144104003906,85111600,,,473.6078540928486,475.57723167819523,-1.969377585346649,,,,,,,,,
2022-01-10,462.7000122070313,465.739990234375,456.6000061035156,465.510009765625,453.0499267578125,119362000,,,472.36203188866034,474.83151153652335,-2.469479647863011,,,,,,,,,
2022-01-11,465.2300109863281,469.8500061035156,462.0499877929688,469.75,457.1764526367188,74303100,470.4185703822545,,471.96018082886644,474.45510327455867,-2.494922445692225,,,,,,,5.1250770859351436,,
2022-01-12,471.5899963378906,473.2000122070313,468.9400024414063,471.0199890136719,458.4124450683594,67605400,469.46285574776783,,471.81553593422115,474.2006503663448,-2.3851144321236575,,,,,,,4.049725107783261,,
2022-01-13,472.1900024414063,472.8800048828125,463.4400024414063,464.5299987792969,452.09613037109375,91173100,467.6028573172433,,470.6946840642328,473.48430580434126,-2.789621740108487,,,,,,,2.349320991111452,,
2022-01-14,461.1900024414063,465.0899963378906,459.8999938964844,464.7200012207031,452.2810668945313,95890900,467.0799996512277,,469.77550208830513,472.8350980574051,-3.0595959690999734,,-0.027192209639175013,,,,,2.546536689897711,,
2022-01-18,459.739990234375,459.9599914550781,455.30999755859375,456.489990234375,444.2713317871094,109709100,465.4442836216518,,467.7315771877005,471.6243493297733,-3.892772142072772,,-0.044100090245890455,,,,,4.683104754006768,,
2022-01-19,458.1300048828125,459.6099853515625,451.4599914550781,451.75,439.65826416015625,109357600,463.39571271623885,,465.2728730049773,470.1521753053456,-4.879302300368295,,-0.035505368951378014,,,,,6.944167583168908,,
2022-01-20,453.75,458.739990234375,444.5,446.75,434.79205322265625,122379700,460.71571132114957,,462.4232002349808,468.418680838283,-5.995480603302212,,-0.0452835883464775,,,,,9.234549510881719,,
2022-01-21,445.55999755859375,448.05999755859375,437.9500122070313,437.9800109863281,426.2568664550781,202271200,456.17714146205356,,458.6627095813419,466.163964552953,-7.501254971611104,11.148030411370002,-0.06031020955700639,,,,,11.566941480171645,,
2022-01-24,432.0299987792969,440.3800048828125,420.760009765625,439.8399963378906,428.0670166015625,251783900,451.7228567940848,,455.7669075438879,464.2140409814669,-8.447133437578998,14.26679966412766,-0.05514384844411557,,,,,10.88173113738931,,
2022-01-25,433.05999755859375,439.7200012207031,427.1499938964844,434.4700012207031,422.84075927734375,167997300,447.42857142857144,,452.4904604172441,462.0107787769659,-9.520318359721784,12.989651800251153,-0.07510377600701834,,,,,10.916534609495839,,
2022-01-26,440.7200012207031,444.0400085449219,428.8599853515625,433.3800048828125,421.7799072265625,186391100,442.95142909458707,,449.55039033502385,459.8899807107323,-10.33959037570844,15.083752960732625,-0.07991164920554328,,,,,8.879559116917909,,
2022-01-27,438.260009765625,441.5899963378906,429.4500122070313,431.239990234375,419.6972351074219,149878300,439.3442862374442,,446.7334057041548,457.7677591939651,-11.034353489810314,14.588913309258444,-0.07166385084365312,,,,,7.481802656700839,,
2022-01-28,432.6799926757813,442.0,427.8200073242188,441.9500122070313,430.12054443359375,164457400,437.9442879813058,,445.9974990122896,456.59607423197,-10.598575219680413,30.108767975231927,-0.0489972218838457,,,,,5.401116150276656,,
2022-01-31,441.239990234375,450.2799987792969,439.80999755859375,449.9100036621094,437.8674926757813,152251400,438.39571707589283,,446.5994228045696,456.10080974531365,-9.501386940744055,38.53951391563674,-0.014414306366032803,455.8479995727539,15.388454518833518,486.62490861042096,425.07109053508685,6.314581063145974,,
