Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-01-03,399.0499877929688,401.9400024414063,396.8800048828125,401.6799926757813,397.0050048828125,40575900,,,401.6799926757813,401.6799926757813,0.0,,,,,,,,,
2022-01-04,402.239990234375,402.2799987792969,393.2900085449219,396.4700012207031,391.8556213378906,58027200,,,400.87845552884625,401.29406738281256,-0.4156118539663112,,,,,,,,,
2022-01-05,394.739990234375,395.8900146484375,384.0299987792969,384.2900085449219,379.8174133300781,75739800,,,398.32638676208865,400.03450746889473,-1.7081207068060849,,,,,,,,,
2022-01-06,382.4200134277344,387.3500061035156,380.1300048828125,384.0199890136719,379.5505676269531,70814300,,,396.12540249310143,398.84824684258194,-2.7228443494805106,,,,,,,,,
2022-01-07,384.0299987792969,385.760009765625,378.0400085449219,379.8599853515625,375.4389343261719,72652300,,,393.62303062517236,397.44170895435826,-3.8186783291859,,,,,,,,,
2022-01-10,374.8200073242188,380.6400146484375,369.30999755859375,380.1099853515625,375.68603515625,91770500,,,391.54410058307855,396.1578775763734,-4.6137769932948345,,,,,,,,,
2022-01-11,379.3599853515625,385.989990234375,377.2200012207031,385.8200073242188,381.3296203613281,68295700,387.4642813546317,,390.6634708509463,395.3921094095471,-4.728638558600835,,,,,,,8.36404229188868,,
2022-01-12,388.4599914550781,390.2000122070313,385.010009765625,387.3500061035156,382.841796875,54576400,385.4171404157366,,390.15370704364926,394.79639805354475,-4.642691009895486,,,,,,,5.602593581902766,,
2022-01-13,388.7699890136719,389.4700012207031,376.7000122070313,377.6600036621094,373.2646179199219,77994000,382.72999790736606,,388.23159883110463,393.52703550603104,-5.295436674926407,,,,,,,3.554260909629784,,
2022-01-14,375.0700073242188,380.3500061035156,374.8599853515625,380.010009765625,375.5872497558594,80121200,382.11856951032365,,386.966738974877,392.52577434007503,-5.559035365198042,,-0.05394837508784611,,,,,3.6088874830361433,,
2022-01-18,374.0400085449219,376.2200012207031,369.7699890136719,370.5499877929688,366.2373352050781,75450900,380.1942836216518,,384.4410849468911,390.8979382995486,-6.456853352657504,,-0.06537698526478275,,,,,5.514238641089414,,
2022-01-19,372.1499938964844,374.6900024414063,366.2099914550781,366.4800109863281,362.2146911621094,81791500,378.2828587123326,,381.6778427991122,389.0892029430138,-7.411360143901561,,-0.04634520066246228,,,,,7.581069285179403,,
