Date,Open,High,Low,Close,Adj Close,Volume,7_day_MA,21_day_MA,12_day_EMA,26_day_EMA,MACD,RSI,ROC,20_day_SMA,20_day_STD,Upper_Bollinger,Lower_Bollinger,Volatility,Skewness,Kurtosis
2022-02-04,13958.48046875,14222.759765625,13850.3896484375,14098.009765625,14098.009765625,4121340000,14014.801478794643,14324.392392113095,14128.34223179407,14485.61583089347,-357.2735990994006,38.766247373674425,0.017529960734167904,14286.568994140625,564.5220664741993,15415.613127089024,13157.524861192227,375.47623047928664,-0.0035872817644539133,-1.2318541041743054
2022-02-07,14118.7900390625,14236.3095703125,13974.099609375,14015.669921875,14015.669921875,4268730000,14109.5,14273.669038318452,14111.008030268058,14450.805022818027,-339.7969925499692,42.412792819861224,0.03518499725156099,14240.557470703125,546.0109863123993,15332.579443327922,13148.535498078327,239.7388879423813,0.13876822100545505,-1.0911033159393242
2022-02-08,13984.4296875,14226.48046875,13934.7802734375,14194.4501953125,14194.4501953125,4293770000,14170.054268973214,14238.361886160714,14123.845286428741,14431.815776336138,-307.97048990739677,47.75633964896421,0.04817045429223965,14203.1384765625,520.392938054447,15243.924352671394,13162.352600453607,187.76042915096218,0.26133314722403705,-0.8521742906159311
2022-02-09,14368.16015625,14490.7197265625,14330.8701171875,14490.3701171875,14490.3701171875,4729730000,14205.838588169643,14216.816173735118,14180.23372193009,14436.15313491772,-255.9194129876305,55.00663582063951,0.08519497965625877,14169.98447265625,475.8810821515066,15121.746636959262,13218.222308353237,223.7136846866484,0.2968696278430543,-0.6192058098493867
2022-02-10,14228.6796875,14509.5595703125,14118.2001953125,14185.6396484375,14185.6396484375,5212510000,14182.929966517857,14170.729957217261,14181.06540293123,14417.59658036363,-236.5311774324,56.35499485162033,0.030141768025448323,14119.84697265625,411.39134185998336,14942.629656376217,13297.064288936284,215.01008405599396,0.2817237231131508,-0.3115476083074893
2022-02-11,14213.6201171875,14246.7001953125,13733.16015625,13791.150390625,13791.150390625,5237320000,14093.4443359375,14104.194754464286,14121.07847796104,14371.19315890151,-250.11468094046904,49.108165023842616,-0.03151216835256565,14069.064013671876,383.896884523218,14836.85778271831,13301.27024462544,230.85602964332628,0.0824138119864684,-0.5990765808248741
2022-02-14,13768.9697265625,13921.7099609375,13664.759765625,13790.919921875,13790.919921875,4347350000,14080.887137276786,14055.819056919643,14070.284853947804,14328.209956158806,-257.925102211002,53.84596554901831,-0.038692323862052125,14013.922509765625,335.3399682396707,14684.602446244968,13343.242573286283,246.34691173763048,0.1416249982917255,-0.42260133602353367
2022-02-15,13997.1796875,14142.490234375,13976.2900390625,14139.759765625,14139.759765625,4416840000,14086.85142299107,14019.914760044643,14080.97330189814,14314.25068278593,-233.27738088779006,58.260719323466084,-0.019267492939208264,13995.565478515626,316.4501460444925,14628.465770604611,13362.66518642664,247.33398424482368,-0.29683283730526494,-0.8469311308103422
2022-02-16,14038.919921875,14163.73046875,13931.990234375,14124.08984375,14124.08984375,4238560000,14102.33998325893,14001.68568638393,14087.606616029196,14300.164694709194,-212.5580786799983,61.198887117141666,0.01767221750317627,13984.756982421875,307.6259770049644,14600.008936431805,13369.505028411946,245.52162971918824,-0.36866535275386003,-0.7224923822260578
2022-02-17,14004.1904296875,14020.8203125,13704.7001953125,13716.7197265625,13716.7197265625,4278370000,14034.0927734375,13971.99330357143,14030.54709457278,14256.94654892055,-226.3994543477711,49.21575336913308,-0.027045664274697456,13962.8919921875,310.4897402297456,14583.871472646992,13341.91251172801,279.6724702310987,-0.19571980553050508,-0.7710175418691398
